Hugo_Symbol	mutated_samples	total_muts
CTNNB1	12	12
TP53	11	12
DDX3X	10	11
KMT2D	9	10
PTCH1	8	9
TTN	6	8
KDM6A	6	6
KMT2C	6	6
SMARCA4	5	6
RYR1	4	6
CHD8	4	4
DNAH3	4	4
IFI16	4	4
ITGA1	4	4
PLAT	4	4
KCNG3	3	5
AGRN	3	3
ATP6V1C2	3	3
BAP1	3	3
BPGM	3	3
CSMD1	3	3
EBF1	3	3
HS3ST4	3	3
LAMA5	3	3
LHX2	3	3
MAP3K6	3	3
NWD2	3	3
OVGP1	3	3
PLCD1	3	3
PRPS2	3	3
PRTG	3	3
RIPK4	3	3
RLN1	3	3
RNFT2	3	3
SEMA5B	3	3
SETD2	3	3
SLC4A1	3	3
STAG2	3	3
TM4SF18	3	3
ZIC1	3	3
CMTR1	2	4
ANKRD11	2	3
NIN	2	3
ABCA4	2	2
ABCC12	2	2
AC118549.1	2	2
AKAP17A	2	2
AMER2	2	2
ARHGAP21	2	2
ATR	2	2
BAZ2B	2	2
BMPR1A	2	2
BRD7	2	2
BRDT	2	2
C19orf24	2	2
C1QL2	2	2
CACNA1B	2	2
CAMSAP3	2	2
CAPRIN1	2	2
CASZ1	2	2
CCDC141	2	2
CCDC187	2	2
CD6	2	2
CDH2	2	2
CEACAM20	2	2
CLDN19	2	2
CNGA2	2	2
COL4A5	2	2
CPED1	2	2
CSTF2T	2	2
CTAGE1	2	2
CTCF	2	2
CTDNEP1	2	2
CUX1	2	2
CYP2W1	2	2
DDX23	2	2
DGCR8	2	2
DNAH14	2	2
DOCK10	2	2
DYNC1H1	2	2
EFCAB6	2	2
EIF3A	2	2
EOMES	2	2
FBN2	2	2
FBN3	2	2
FGFR2	2	2
GIT1	2	2
GPR18	2	2
GPR55	2	2
IGSF10	2	2
IL1RL1	2	2
IWS1	2	2
KBTBD4	2	2
KCP	2	2
KIAA1109	2	2
MAX	2	2
MECOM	2	2
METTL15	2	2
MT-CYB	2	2
MT-ND5	2	2
MTOR	2	2
MUC16	2	2
MUC3A	2	2
MYH3	2	2
MYH4	2	2
NCOR2	2	2
NKX2-6	2	2
NRF1	2	2
POLR2B	2	2
PPP1R3F	2	2
PRKDC	2	2
PTGS2	2	2
RAPGEF3	2	2
RASGRP4	2	2
RIF1	2	2
RYR2	2	2
SIM1	2	2
SOX7	2	2
SPEN	2	2
SRC	2	2
SRCAP	2	2
SYNE1	2	2
TARBP1	2	2
TBC1D2B	2	2
TENM2	2	2
TRAF5	2	2
TRBV10-3	2	2
TRIM33	2	2
TRPV1	2	2
UGT1A1	2	2
UNC13C	2	2
VAV2	2	2
VCAN	2	2
WDR97	2	2
XDH	2	2
ZNF154	2	2
ZNF462	2	2
ZNF534	2	2
ZNF91	2	2
ZNFX1	2	2
ZSWIM8	2	2
IQUB	1	3
BRWD3	1	2
CADPS	1	2
DPH7	1	2
FAM53C	1	2
GPR26	1	2
IQGAP3	1	2
PCNT	1	2
PTEN	1	2
RBP3	1	2
SYT8	1	2
TMEM177	1	2
ZBED8	1	2
ZC3H11A	1	2
AASS	1	1
ABAT	1	1
ABCA13	1	1
ABCD1	1	1
ABCG2	1	1
ABHD12	1	1
ABL2	1	1
ABLIM2	1	1
ABT1	1	1
AC004997.1	1	1
AC084116.1	1	1
AC100848.1	1	1
ACHE	1	1
ACIN1	1	1
ACO1	1	1
ACSF2	1	1
ACSS1	1	1
ACVRL1	1	1
ADAD1	1	1
ADAM15	1	1
ADAM17	1	1
ADAMTS15	1	1
ADAMTS6	1	1
ADAMTS9	1	1
ADCY1	1	1
ADCYAP1R1	1	1
ADGRB2	1	1
ADGRF2	1	1
ADGRF4	1	1
ADGRF5	1	1
ADGRG4	1	1
ADGRG7	1	1
ADGRV1	1	1
ADH1A	1	1
AFF4	1	1
AKAP12	1	1
AKAP8L	1	1
AKR7A2	1	1
AL032819.3	1	1
AL136295.1	1	1
AL592490.1	1	1
ALDH1L1	1	1
ALOX15B	1	1
ALPG	1	1
ALPK1	1	1
AMPD2	1	1
AMY2B	1	1
ANAPC2	1	1
ANGPTL6	1	1
ANK3	1	1
ANKMY2	1	1
ANKRD50	1	1
ANKS3	1	1
ANKS6	1	1
ANO1	1	1
ANOS1	1	1
AOC2	1	1
AOX1	1	1
AP000790.2	1	1
AP000790.3	1	1
APAF1	1	1
APC	1	1
APEX2	1	1
APOBR	1	1
ARHGAP29	1	1
ARHGAP39	1	1
ARID1A	1	1
ARL1	1	1
ARMCX4	1	1
ARPP21	1	1
AS3MT	1	1
ASAP1	1	1
ASIC3	1	1
ASIC4	1	1
ASIP	1	1
ASXL1	1	1
ATAD3C	1	1
ATAD5	1	1
ATCAY	1	1
ATF7IP	1	1
ATG2B	1	1
ATM	1	1
ATP11B	1	1
ATP2A2	1	1
ATXN1	1	1
AURKAIP1	1	1
AXIN1	1	1
B4GALNT3	1	1
BACH2	1	1
BARX2	1	1
BBS12	1	1
BBX	1	1
BCAM	1	1
BCAS3	1	1
BCL11A	1	1
BCL2L13	1	1
BCL3	1	1
BCL9	1	1
BDNF	1	1
BECN1	1	1
BEND3	1	1
BEND5	1	1
BOC	1	1
BPTF	1	1
BRD1	1	1
BRF1	1	1
BRINP2	1	1
BRMS1	1	1
BSN	1	1
BSPRY	1	1
BTBD6	1	1
BTBD8	1	1
BTNL8	1	1
C10orf67	1	1
C16orf87	1	1
C1GALT1	1	1
C1QTNF6	1	1
C1orf127	1	1
C2CD2	1	1
C2CD6	1	1
C9orf3	1	1
C9orf50	1	1
CA2	1	1
CABIN1	1	1
CACNA1E	1	1
CACNA2D1	1	1
CAD	1	1
CALB2	1	1
CAPN5	1	1
CAPN8	1	1
CAPN9	1	1
CARD14	1	1
CARMIL2	1	1
CASP8	1	1
CASS4	1	1
CBFA2T2	1	1
CCAR1	1	1
CCDC105	1	1
CCDC168	1	1
CCDC177	1	1
CCDC178	1	1
CCDC27	1	1
CCDC57	1	1
CCDC6	1	1
CCDC88B	1	1
CCL28	1	1
CCNB1	1	1
CCT8	1	1
CD151	1	1
CDC42BPA	1	1
CDC5L	1	1
CDH1	1	1
CDH10	1	1
CDH20	1	1
CDH5	1	1
CDK2	1	1
CDK5RAP2	1	1
CDK8	1	1
CDKL3	1	1
CDKL4	1	1
CELA1	1	1
CELSR1	1	1
CENPE	1	1
CEP162	1	1
CEP350	1	1
CEP97	1	1
CFAP43	1	1
CFAP44	1	1
CFAP65	1	1
CFAP97	1	1
CGN	1	1
CHAT	1	1
CHD7	1	1
CHERP	1	1
CHKA	1	1
CHM	1	1
CHN1	1	1
CHRD	1	1
CHRNA10	1	1
CHRNB4	1	1
CHRND	1	1
CHRNE	1	1
CIITA	1	1
CILP2	1	1
CKAP2	1	1
CKAP5	1	1
CKMT2	1	1
CLASRP	1	1
CLEC16A	1	1
CLIC2	1	1
CLN6	1	1
CLSTN2	1	1
CNEP1R1	1	1
CNOT7	1	1
CNPY4	1	1
CNR1	1	1
CNTN6	1	1
CNTNAP1	1	1
CNTNAP2	1	1
COL14A1	1	1
COL4A2	1	1
COL6A5	1	1
COL9A3	1	1
COMP	1	1
COPA	1	1
COPG2	1	1
COPZ1	1	1
COX7A2	1	1
CPT1A	1	1
CRCP	1	1
CREBBP	1	1
CRIM1	1	1
CROCC	1	1
CRTAC1	1	1
CRY1	1	1
CSNK1A1	1	1
CSNK2A1	1	1
CST5	1	1
CTC1	1	1
CTCFL	1	1
CTDSPL2	1	1
CTR9	1	1
CUBN	1	1
CUL1	1	1
CUL4B	1	1
CUL9	1	1
CXCL6	1	1
CYBB	1	1
CYC1	1	1
CYP3A7	1	1
DAB2	1	1
DACT1	1	1
DBH	1	1
DCDC1	1	1
DCHS1	1	1
DCHS2	1	1
DCN	1	1
DCST2	1	1
DCTN4	1	1
DCUN1D2	1	1
DDB2	1	1
DDX1	1	1
DDX58	1	1
DEF8	1	1
DEGS1	1	1
DENND2A	1	1
DENND3	1	1
DEPDC5	1	1
DGAT1	1	1
DGKI	1	1
DGLUCY	1	1
DHX58	1	1
DIRC2	1	1
DLD	1	1
DLGAP3	1	1
DLGAP4	1	1
DMD	1	1
DMXL2	1	1
DNAH10	1	1
DNAH11	1	1
DNAH17	1	1
DNAH9	1	1
DNAJC22	1	1
DNAJC27	1	1
DNHD1	1	1
DNM1	1	1
DOCK1	1	1
DOCK2	1	1
DOCK3	1	1
DOCK8	1	1
DPP10	1	1
DPP3	1	1
DPYS	1	1
DPYSL2	1	1
DQX1	1	1
DRD2	1	1
DSCAM	1	1
DSG1	1	1
DTNA	1	1
DTNBP1	1	1
DTX3	1	1
DYDC2	1	1
DYNC2H1	1	1
DYRK1A	1	1
DYRK4	1	1
DYSF	1	1
ECT2L	1	1
EEF1AKMT2	1	1
EFCAB13	1	1
EFS	1	1
EGFR	1	1
EIF2AK2	1	1
EIF2B3	1	1
EIF2B5	1	1
EIF3E	1	1
EIF3J	1	1
ELFN2	1	1
ELP4	1	1
ENPEP	1	1
EP300	1	1
EPG5	1	1
EPHA6	1	1
EPHB4	1	1
EPM2A	1	1
ERC2	1	1
ERF	1	1
ERI1	1	1
ESPL1	1	1
ESR2	1	1
ESYT1	1	1
ETV6	1	1
EVA1A	1	1
EVPL	1	1
EVPLL	1	1
EXOSC3	1	1
EYA1	1	1
EYA4	1	1
EYS	1	1
F9	1	1
FABP2	1	1
FAF1	1	1
FAM133A	1	1
FAM151A	1	1
FAM161B	1	1
FAM208B	1	1
FAM43B	1	1
FAM47C	1	1
FAM71F2	1	1
FAM83C	1	1
FAM91A1	1	1
FAM98B	1	1
FANCE	1	1
FAT1	1	1
FAT2	1	1
FAT3	1	1
FBN1	1	1
FBXO24	1	1
FBXW12	1	1
FBXW7	1	1
FER1L5	1	1
FGFR4	1	1
FHDC1	1	1
FKBP7	1	1
FLNA	1	1
FLNC	1	1
FMN2	1	1
FMO3	1	1
FNDC5	1	1
FOXK2	1	1
FOXN3	1	1
FOXO3	1	1
FOXO4	1	1
FREM1	1	1
FRMD7	1	1
FRMPD3	1	1
FRMPD4	1	1
FSIP2	1	1
FXR1	1	1
GABRA1	1	1
GABRG1	1	1
GABRG3	1	1
GALNT10	1	1
GALNT17	1	1
GALNT2	1	1
GALNT5	1	1
GARS	1	1
GATA1	1	1
GBGT1	1	1
GCC2	1	1
GDAP1	1	1
GDF2	1	1
GEMIN6	1	1
GGA2	1	1
GGT6	1	1
GIF	1	1
GIMAP2	1	1
GIN1	1	1
GIP	1	1
GJB4	1	1
GLG1	1	1
GLI3	1	1
GLIS3	1	1
GM2A	1	1
GMPPB	1	1
GNAQ	1	1
GNB1	1	1
GOLGA1	1	1
GOLGA2	1	1
GOLGA3	1	1
GOT1L1	1	1
GPCPD1	1	1
GPER1	1	1
GPI	1	1
GPLD1	1	1
GPR35	1	1
GPR37	1	1
GPR39	1	1
GPRC6A	1	1
GPRIN3	1	1
GPS1	1	1
GRAMD2A	1	1
GRAP2	1	1
GRIN1	1	1
GRIN2A	1	1
GRIN2B	1	1
GRIN3B	1	1
GRIPAP1	1	1
GRK2	1	1
GRK4	1	1
GRM1	1	1
GSE1	1	1
GSPT1	1	1
GTF2F1	1	1
GTPBP3	1	1
H1FX	1	1
H6PD	1	1
HAND1	1	1
HARS	1	1
HAUS3	1	1
HCFC1	1	1
HCN4	1	1
HECTD4	1	1
HECW1	1	1
HERC1	1	1
HERC6	1	1
HES4	1	1
HIST1H1C	1	1
HIST1H1T	1	1
HIST1H2AG	1	1
HIST1H3E	1	1
HIST1H4D	1	1
HIVEP1	1	1
HMGB1	1	1
HMGCS2	1	1
HMGN5	1	1
HMGXB3	1	1
HNRNPA3	1	1
HNRNPF	1	1
HOXA2	1	1
HOXD9	1	1
HPDL	1	1
HPN	1	1
HPS5	1	1
HPS6	1	1
HRCT1	1	1
HRNR	1	1
HSPA12A	1	1
HSPA1L	1	1
HSPA4L	1	1
HTR7	1	1
HUWE1	1	1
ICE2	1	1
IFNLR1	1	1
IFT140	1	1
IGSF5	1	1
IGSF9	1	1
IL11	1	1
IL18RAP	1	1
IL1RAP	1	1
IL2	1	1
IL27	1	1
IL31RA	1	1
IL36B	1	1
IMPDH2	1	1
INPP4A	1	1
INPP4B	1	1
INSL5	1	1
INTS10	1	1
INTU	1	1
INVS	1	1
IQGAP2	1	1
IRF4	1	1
IRGQ	1	1
ITGA11	1	1
ITGA2	1	1
ITGA9	1	1
ITGAV	1	1
ITGAX	1	1
ITPR1	1	1
ITPR3	1	1
ITSN1	1	1
IVL	1	1
JADE1	1	1
JADE2	1	1
JMJD6	1	1
JPH3	1	1
KAT2B	1	1
KAT6A	1	1
KCNC4	1	1
KCNE2	1	1
KCNE5	1	1
KCNH2	1	1
KCNH5	1	1
KCNJ16	1	1
KCNJ3	1	1
KCNT2	1	1
KCTD1	1	1
KDM1A	1	1
KIAA0319L	1	1
KIAA0586	1	1
KIAA1024	1	1
KIAA1217	1	1
KIAA1549	1	1
KIAA1549L	1	1
KIAA2012	1	1
KIF6	1	1
KIFC2	1	1
KIR2DL3	1	1
KIR3DL3	1	1
KLC1	1	1
KLC3	1	1
KLHL20	1	1
KLK8	1	1
KNDC1	1	1
KNG1	1	1
KPRP	1	1
KRBA1	1	1
KRT1	1	1
KRT4	1	1
KRT71	1	1
KRT82	1	1
KRT83	1	1
LAMB2	1	1
LAMC2	1	1
LANCL3	1	1
LASP1	1	1
LCLAT1	1	1
LDLR	1	1
LEF1	1	1
LEMD3	1	1
LGI2	1	1
LGR6	1	1
LHFPL5	1	1
LILRA4	1	1
LILRB1	1	1
LIMCH1	1	1
LINC01055	1	1
LINGO1	1	1
LPA	1	1
LPGAT1	1	1
LRCH1	1	1
LRGUK	1	1
LRP11	1	1
LRP8	1	1
LRRC3B	1	1
LRRC4	1	1
LRRC47	1	1
LRRC53	1	1
LRRFIP1	1	1
LRRIQ4	1	1
LTB4R2	1	1
LUZP4	1	1
MAG	1	1
MAGEA12	1	1
MAGEB17	1	1
MAGEC1	1	1
MAGEL2	1	1
MAGI1	1	1
MALRD1	1	1
MAML3	1	1
MAN1A1	1	1
MAN2B1	1	1
MANBA	1	1
MAP2K4	1	1
MAP3K10	1	1
MAP3K14	1	1
MAP3K15	1	1
MAP3K4	1	1
MAP4K5	1	1
MAPK14	1	1
MASP1	1	1
MAST1	1	1
MATK	1	1
MBD4	1	1
MBTD1	1	1
MCM10	1	1
MCTP1	1	1
MECR	1	1
MED12	1	1
MED23	1	1
MEGF6	1	1
MEGF8	1	1
METTL24	1	1
MIB1	1	1
MIGA2	1	1
MILR1	1	1
MINK1	1	1
MIOS	1	1
MKI67	1	1
MKL1	1	1
MKL2	1	1
MMP14	1	1
MMP15	1	1
MOB3B	1	1
MORC4	1	1
MOV10L1	1	1
MR1	1	1
MRAP2	1	1
MRC2	1	1
MROH7	1	1
MRPS18A	1	1
MRPS23	1	1
MS4A14	1	1
MSI1	1	1
MT-CO3	1	1
MT-ND1	1	1
MT-ND2	1	1
MT-ND4L	1	1
MT-ND6	1	1
MTCH2	1	1
MTIF2	1	1
MTPAP	1	1
MXRA5	1	1
MYH14	1	1
MYO10	1	1
MYO15A	1	1
MYO1D	1	1
MYO1E	1	1
MYO5A	1	1
MYO7B	1	1
MYOF	1	1
MYRFL	1	1
NABP1	1	1
NAP1L1	1	1
NAP1L3	1	1
NAV3	1	1
NBEAL1	1	1
NBEAL2	1	1
NCAPD3	1	1
NCAPG2	1	1
NCBP2	1	1
NCOA7	1	1
NCOR1	1	1
NEB	1	1
NEDD4	1	1
NES	1	1
NF2	1	1
NFATC2	1	1
NFKBID	1	1
NFS1	1	1
NID1	1	1
NLRP3	1	1
NLRP8	1	1
NME4	1	1
NOP14	1	1
NOX3	1	1
NQO1	1	1
NRCAM	1	1
NRG1	1	1
NRK	1	1
NRXN1	1	1
NRXN3	1	1
NSL1	1	1
NSMCE4A	1	1
NUDT12	1	1
NUDT13	1	1
NXF1	1	1
NXN	1	1
OCA2	1	1
OGN	1	1
OLFM1	1	1
OPN1SW	1	1
OPRK1	1	1
OR10A4	1	1
OR10G3	1	1
OR10J5	1	1
OR1A1	1	1
OR1C1	1	1
OR1G1	1	1
OR2G6	1	1
OR2T12	1	1
OR2T8	1	1
OR4K14	1	1
OR4Q2	1	1
OR5F1	1	1
OR6P1	1	1
OR7C2	1	1
OR9A4	1	1
OR9I1	1	1
ORC1	1	1
OSBPL1A	1	1
OSBPL6	1	1
OSBPL7	1	1
OTOG	1	1
OTOL1	1	1
OVCH1	1	1
P2RY10	1	1
PABPC4	1	1
PAPPA2	1	1
PARP15	1	1
PATL2	1	1
PAX8	1	1
PAXIP1	1	1
PBLD	1	1
PCDHA1	1	1
PCDHA10	1	1
PCDHA5	1	1
PCDHB2	1	1
PCDHB5	1	1
PCDHGA11	1	1
PCDHGB4	1	1
PCLO	1	1
PCNX3	1	1
PCSK5	1	1
PDCD11	1	1
PDE1B	1	1
PDE4A	1	1
PDILT	1	1
PDK4	1	1
PDPN	1	1
PDZD2	1	1
PEG10	1	1
PELI3	1	1
PGLYRP2	1	1
PHC2	1	1
PHF20	1	1
PHF3	1	1
PHLPP2	1	1
PIGM	1	1
PIK3C2B	1	1
PIK3CA	1	1
PIK3CD	1	1
PINK1	1	1
PIP5KL1	1	1
PJVK	1	1
PKD2	1	1
PKDREJ	1	1
PKP4	1	1
PLB1	1	1
PLCD3	1	1
PLCH1	1	1
PLCL1	1	1
PLEKHB1	1	1
PLIN4	1	1
PLPP1	1	1
PLXNA2	1	1
PLXNA3	1	1
PMS2	1	1
POLR2C	1	1
POU3F4	1	1
PPARGC1B	1	1
PPIG	1	1
PPM1J	1	1
PPM1L	1	1
PPM1N	1	1
PPOX	1	1
PPP1R9A	1	1
PPP2CA	1	1
PPP2R2B	1	1
PRAM1	1	1
PRDM16	1	1
PRDM2	1	1
PRDM5	1	1
PRDX6	1	1
PRICKLE3	1	1
PRKACG	1	1
PRKCQ	1	1
PRMT2	1	1
PRMT7	1	1
PRPF18	1	1
PRPF40B	1	1
PRR30	1	1
PRSS16	1	1
PRSS27	1	1
PRUNE2	1	1
PSD2	1	1
PSG3	1	1
PSG9	1	1
PSMA3	1	1
PSME3	1	1
PSME4	1	1
PTGFRN	1	1
PTGS1	1	1
PTPN14	1	1
PTPRN2	1	1
PTPRQ	1	1
PUS1	1	1
PXDNL	1	1
RAB14	1	1
RAB3GAP1	1	1
RABEP2	1	1
RAD54B	1	1
RAD54L2	1	1
RAG1	1	1
RAI1	1	1
RALGPS2	1	1
RAMP1	1	1
RAPGEF6	1	1
RASD2	1	1
RASSF6	1	1
RBM20	1	1
RBM33	1	1
RBM47	1	1
RC3H1	1	1
RCBTB2	1	1
RELL2	1	1
REM2	1	1
REPIN1	1	1
REV3L	1	1
RFTN1	1	1
RFX3	1	1
RFXAP	1	1
RGL3	1	1
RHBG	1	1
RMC1	1	1
RNASEL	1	1
RNF103	1	1
RNF113B	1	1
RNF139	1	1
RNF150	1	1
RNF180	1	1
ROCK1	1	1
RORA	1	1
RP1	1	1
RP1L1	1	1
RPGR	1	1
RPGRIP1	1	1
RPL22	1	1
RPL5	1	1
RPS10-NUDT3	1	1
RPS6KA4	1	1
RREB1	1	1
RRP1	1	1
RSPH6A	1	1
RSPO4	1	1
RTKN2	1	1
RTL1	1	1
RTTN	1	1
RUNX3	1	1
RUSC2	1	1
SACS	1	1
SALL2	1	1
SALL4	1	1
SAMD5	1	1
SAMD9	1	1
SBF2	1	1
SCARB1	1	1
SCN1A	1	1
SCNN1A	1	1
SCNN1D	1	1
SCUBE1	1	1
SCUBE2	1	1
SCYL2	1	1
SEC13	1	1
SEC16A	1	1
SEC16B	1	1
SELENOK	1	1
SEMA3G	1	1
SEMA4A	1	1
SEMA6D	1	1
SERPINB2	1	1
SERPINB7	1	1
SERPINE3	1	1
SERTAD2	1	1
SETD3	1	1
SETD4	1	1
SFMBT2	1	1
SGO2	1	1
SH2D3C	1	1
SHANK1	1	1
SHCBP1L	1	1
SLC12A5	1	1
SLC12A9	1	1
SLC14A2	1	1
SLC19A3	1	1
SLC22A12	1	1
SLC22A6	1	1
SLC24A2	1	1
SLC25A16	1	1
SLC25A23	1	1
SLC25A31	1	1
SLC25A4	1	1
SLC25A53	1	1
SLC26A3	1	1
SLC28A3	1	1
SLC2A4RG	1	1
SLC2A9	1	1
SLC35E1	1	1
SLC35E4	1	1
SLC36A2	1	1
SLC36A4	1	1
SLC37A1	1	1
SLC38A4	1	1
SLC44A5	1	1
SLC4A5	1	1
SLC5A5	1	1
SLC7A3	1	1
SLC7A9	1	1
SLC9A2	1	1
SLF1	1	1
SMAD2	1	1
SMARCA5	1	1
SMARCAD1	1	1
SMC1A	1	1
SMC4	1	1
SMPD4	1	1
SMTN	1	1
SNRPN	1	1
SNX22	1	1
SORCS3	1	1
SOX12	1	1
SOX9	1	1
SP110	1	1
SP5	1	1
SPAG17	1	1
SPATA18	1	1
SPATA20	1	1
SPATA31E1	1	1
SPATA8	1	1
SPHK1	1	1
SPINK4	1	1
SPINT1	1	1
SPOCK1	1	1
SRSF12	1	1
SSPO	1	1
SSTR4	1	1
STAB2	1	1
STARD3	1	1
STAT1	1	1
STAT5A	1	1
STAU2	1	1
STK35	1	1
STOML3	1	1
STON1-GTF2A1L	1	1
STON2	1	1
STPG1	1	1
STRA6	1	1
STX17	1	1
STXBP2	1	1
SUFU	1	1
SUGCT	1	1
SUMF2	1	1
SUPT5H	1	1
SVEP1	1	1
SYAP1	1	1
SYNJ1	1	1
SYT14	1	1
SYTL2	1	1
TAF1	1	1
TAF1L	1	1
TAF6	1	1
TAL2	1	1
TARBP2	1	1
TAS2R1	1	1
TBC1D1	1	1
TBC1D31	1	1
TBX18	1	1
TBX19	1	1
TCERG1	1	1
TCERG1L	1	1
TCF4	1	1
TCTE1	1	1
TCTN2	1	1
TEAD1	1	1
TEC	1	1
TECPR2	1	1
TENT4A	1	1
TERF2IP	1	1
TESC	1	1
TEX10	1	1
TEX15	1	1
TGFB3	1	1
TGM1	1	1
TH	1	1
THBS2	1	1
THNSL2	1	1
THOC6	1	1
TIGD7	1	1
TINAGL1	1	1
TLL2	1	1
TLR9	1	1
TM9SF4	1	1
TMC7	1	1
TMCC2	1	1
TMCO3	1	1
TMEM117	1	1
TMEM132D	1	1
TMEM50A	1	1
TMEM79	1	1
TMSB4Y	1	1
TNKS	1	1
TNN	1	1
TNPO2	1	1
TNS3	1	1
TOE1	1	1
TPRN	1	1
TRAJ1	1	1
TRAPPC10	1	1
TRAPPC9	1	1
TRIM25	1	1
TRIM52	1	1
TRIM59	1	1
TRIM60P15	1	1
TRIM8	1	1
TRIP4	1	1
TRPC1	1	1
TRPC3	1	1
TRPC5	1	1
TRRAP	1	1
TSEN54	1	1
TSPAN10	1	1
TSPYL6	1	1
TTBK1	1	1
TTC22	1	1
TTLL2	1	1
TTPAL	1	1
TTYH3	1	1
TUBGCP4	1	1
TYK2	1	1
UBAP2L	1	1
UBR4	1	1
UBTF	1	1
UBXN10	1	1
UGT1A5	1	1
UNC13B	1	1
UNC93B1	1	1
URAD	1	1
URB2	1	1
USH2A	1	1
USO1	1	1
USP19	1	1
USP34	1	1
USP40	1	1
USP43	1	1
USP44	1	1
USP53	1	1
USP54	1	1
UST	1	1
VCL	1	1
VEPH1	1	1
VEZF1	1	1
VNN2	1	1
VPS13D	1	1
VRK2	1	1
VTI1B	1	1
VWCE	1	1
VWDE	1	1
WDR11	1	1
WDR19	1	1
WDR76	1	1
WDR87	1	1
WDR90	1	1
WHRN	1	1
WNK3	1	1
WSCD2	1	1
WTAP	1	1
XIRP1	1	1
XKR4	1	1
XKR6	1	1
Z83844.3	1	1
ZAP70	1	1
ZBBX	1	1
ZBTB14	1	1
ZBTB20	1	1
ZBTB33	1	1
ZBTB49	1	1
ZBTB8B	1	1
ZC3H13	1	1
ZC4H2	1	1
ZCCHC9	1	1
ZCWPW1	1	1
ZDHHC5	1	1
ZFHX3	1	1
ZFX	1	1
ZFYVE26	1	1
ZFYVE28	1	1
ZG16B	1	1
ZMAT5	1	1
ZMYM3	1	1
ZMYM5	1	1
ZMYND8	1	1
ZNF165	1	1
ZNF184	1	1
ZNF236	1	1
ZNF318	1	1
ZNF391	1	1
ZNF438	1	1
ZNF484	1	1
ZNF518B	1	1
ZNF554	1	1
ZNF567	1	1
ZNF579	1	1
ZNF599	1	1
ZNF600	1	1
ZNF606	1	1
ZNF639	1	1
ZNF646	1	1
ZNF669	1	1
ZNF723	1	1
ZNF740	1	1
ZNF775	1	1
ZNF780A	1	1
ZNF786	1	1
ZNF808	1	1
ZNF81	1	1
ZNF813	1	1
ZNF839	1	1
ZNF852	1	1
ZSWIM5	1	1
